tournament,playerId,playerName,position,R1,R2,R3,R4,total,toPar,year,tournamentName,R5,R6
Hero World Challenge,,,1.0,-5.0,-5.0,-9.0,-6.0,,,2016,Hero World Challenge,,
Hero World Challenge,,,2.0,-3.0,-7.0,-6.0,-6.0,,,2016,Hero World Challenge,,
Hero World Challenge,,,3.0,-2.0,-4.0,-7.0,-8.0,,,2016,Hero World Challenge,,
Hero World Challenge,,,4.0,-5.0,-6.0,-4.0,-5.0,,,2016,Hero World Challenge,,
Hero World Challenge,,,5.0,-5.0,-6.0,-4.0,-4.0,,,2016,Hero World Challenge,,
Hero World Challenge,,,6.0,-6.0,-2.0,-9.0,-2.0,,,2016,Hero World Challenge,,
Hero World Challenge,,,7.0,-5.0,-2.0,-7.0,-4.0,,,2016,Hero World Challenge,,
Hero World Challenge,,,8.0,-1.0,-4.0,-4.0,-8.0,,,2016,Hero World Challenge,,
Hero World Challenge,,,9.0,-6.0,-5.0,-1.0,-5.0,,,2016,Hero World Challenge,,
Hero World Challenge,,,10.0,-5.0,-2.0,-6.0,-3.0,,,2016,Hero World Challenge,,
Hero World Challenge,,,11.0,-3.0,-7.0,-6.0,,,,2016,Hero World Challenge,,
Hero World Challenge,,,12.0,-6.0,-2.0,-5.0,-2.0,,,2016,Hero World Challenge,,
Hero World Challenge,,,13.0,-1.0,,-2.0,-10.0,,,2016,Hero World Challenge,,
Hero World Challenge,,,14.0,-2.0,-6.0,-3.0,-1.0,,,2016,Hero World Challenge,,
Hero World Challenge,,,15.0,-4.0,-3.0,,-1.0,,,2016,Hero World Challenge,,
Hero World Challenge,,,16.0,-1.0,-2.0,1.0,-5.0,,,2016,Hero World Challenge,,
Hero World Challenge,,,17.0,3.0,1.0,-2.0,-6.0,,,2016,Hero World Challenge,,
Hero World Challenge,,,18.0,-3.0,-2.0,1.0,,,,2016,Hero World Challenge,,
